# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   3.0.1      # Version number
#           PDG          Width
DECAY        25     3.45292371E-03   # Lightest neutral Higgs scalar
     4.64691409E-02    2          21        21   # BR(H_1 -> gluon gluon)
     2.16194759E-04    2          13       -13   # BR(H_1 -> muon muon)
     6.10799429E-02    2          15       -15   # BR(H_1 -> tau tau)
     4.53673020E-04    2           3        -3   # BR(H_1 -> s sbar)
     2.66333778E-02    2           4        -4   # BR(H_1 -> c cbar)
     5.80598575E-01    2           5        -5   # BR(H_1 -> b bbar)
     0.00000000E+00    2           6        -6   # BR(H_1 -> t tbar)
     2.50576210E-01    2          24       -24   # BR(H_1 -> W+ W-)
     2.94103257E-02    2          23        23   # BR(H_1 -> Z Z)
     2.67863101E-03    2          22        22   # BR(H_1 -> gamma gamma)
     1.88392868E-03    2          23        22   # BR(H_1 -> Z gamma)
DECAY        35     1.74337477E+01   # 2nd neutral Higgs scalar
     1.63939453E-04    2          21        21   # BR(H_2 -> gluon gluon)
     4.06260701E-08    2          13       -13   # BR(H_2 -> muon muon)
     1.14900466E-05    2          15       -15   # BR(H_2 -> tau tau)
     6.79486953E-08    2           3        -3   # BR(H_2 -> s sbar)
     2.81760349E-05    2           4        -4   # BR(H_2 -> c cbar)
     1.07231368E-04    2           5        -5   # BR(H_2 -> b bbar)
     1.24878859E-01    2           6        -6   # BR(H_2 -> t tbar)
     3.42184726E-01    2          24       -24   # BR(H_2 -> W+ W-)
     1.62891283E-01    2          23        23   # BR(H_2 -> Z Z)
     2.83358114E-06    2          22        22   # BR(H_2 -> gamma gamma)
     6.18782048E-06    2          23        22   # BR(H_2 -> Z gamma)
     1.10435612E-01    2          25        25   # BR(H_2 -> H_1 H_1)
     1.25765704E-04    2     1000022   1000022   # BR(H_2 -> neu_1 neu_1)
     4.14714404E-23    2     1000022   1000023   # BR(H_2 -> neu_1 neu_2)
     1.61442194E-04    2     1000022   1000025   # BR(H_2 -> neu_1 neu_3)
