# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   3.0.1      # Version number
#           PDG          Width
DECAY        25     2.35713978E-03   # Lightest neutral Higgs scalar
     5.13100946E-02    2          21        21   # BR(H_1 -> gluon gluon)
     2.29822828E-04    2          13       -13   # BR(H_1 -> muon muon)
     6.49281086E-02    2          15       -15   # BR(H_1 -> tau tau)
     4.82763006E-04    2           3        -3   # BR(H_1 -> s sbar)
     2.61107010E-02    2           4        -4   # BR(H_1 -> c cbar)
     6.18871746E-01    2           5        -5   # BR(H_1 -> b bbar)
     0.00000000E+00    2           6        -6   # BR(H_1 -> t tbar)
     2.09712414E-01    2          24       -24   # BR(H_1 -> W+ W-)
     2.36779642E-02    2          23        23   # BR(H_1 -> Z Z)
     3.00335026E-03    2          22        22   # BR(H_1 -> gamma gamma)
     1.67303560E-03    2          23        22   # BR(H_1 -> Z gamma)
DECAY        35     6.71252080E+00   # 2nd neutral Higgs scalar
     4.95926490E-04    2          21        21   # BR(H_2 -> gluon gluon)
     1.41612805E-07    2          13       -13   # BR(H_2 -> muon muon)
     4.00483782E-05    2          15       -15   # BR(H_2 -> tau tau)
     2.50936712E-07    2           3        -3   # BR(H_2 -> s sbar)
     9.04961579E-05    2           4        -4   # BR(H_2 -> c cbar)
     3.78146312E-04    2           5        -5   # BR(H_2 -> b bbar)
     0.00000000E+00    2           6        -6   # BR(H_2 -> t tbar)
     6.14326460E-01    2          24       -24   # BR(H_2 -> W+ W-)
     2.79889528E-01    2          23        23   # BR(H_2 -> Z Z)
     7.80946522E-06    2          22        22   # BR(H_2 -> gamma gamma)
     3.62695306E-05    2          23        22   # BR(H_2 -> Z gamma)
     1.04569128E-01    2          25        25   # BR(H_2 -> H_1 H_1)
     1.65795512E-04    2          23        36   # BR(H_2 -> A_1 Z)
DECAY        45     1.15197601E+00   # 3rd neutral Higgs scalar
     1.04368505E-02    2          21        21   # BR(H_3 -> gluon gluon)
     2.18481935E-06    2          13       -13   # BR(H_3 -> muon muon)
     6.17878883E-04    2          15       -15   # BR(H_3 -> tau tau)
     3.63243551E-06    2           3        -3   # BR(H_3 -> s sbar)
     1.77134394E-03    2           4        -4   # BR(H_3 -> c cbar)
     6.11736750E-03    2           5        -5   # BR(H_3 -> b bbar)
     4.83868578E-01    2           6        -6   # BR(H_3 -> t tbar)
     3.04459441E-03    2          24       -24   # BR(H_3 -> W+ W-)
