# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   3.0.1      # Version number
#           PDG          Width
DECAY        25     3.36381603E-03   # Lightest neutral Higgs scalar
     4.43919379E-02    2          21        21   # BR(H_1 -> gluon gluon)
     2.27141439E-04    2          13       -13   # BR(H_1 -> muon muon)
     6.41691808E-02    2          15       -15   # BR(H_1 -> tau tau)
     4.79890842E-04    2           3        -3   # BR(H_1 -> s sbar)
     3.13430679E-02    2           4        -4   # BR(H_1 -> c cbar)
     6.12185993E-01    2           5        -5   # BR(H_1 -> b bbar)
     0.00000000E+00    2           6        -6   # BR(H_1 -> t tbar)
     2.18588637E-01    2          24       -24   # BR(H_1 -> W+ W-)
     2.39764753E-02    2          23        23   # BR(H_1 -> Z Z)
     2.88173882E-03    2          22        22   # BR(H_1 -> gamma gamma)
     1.75593699E-03    2          23        22   # BR(H_1 -> Z gamma)
DECAY        35     2.40108531E+01   # 2nd neutral Higgs scalar
     1.04220034E-03    2          21        21   # BR(H_2 -> gluon gluon)
     3.30306558E-07    2          13       -13   # BR(H_2 -> muon muon)
     9.34221713E-05    2          15       -15   # BR(H_2 -> tau tau)
     5.10208751E-07    2           3        -3   # BR(H_2 -> s sbar)
     1.66310951E-04    2           4        -4   # BR(H_2 -> c cbar)
     8.10595212E-04    2           5        -5   # BR(H_2 -> b bbar)
     2.65072613E-01    2           6        -6   # BR(H_2 -> t tbar)
     6.86315852E-02    2          24       -24   # BR(H_2 -> W+ W-)
     3.33632028E-02    2          23        23   # BR(H_2 -> Z Z)
     6.79999662E-06    2          22        22   # BR(H_2 -> gamma gamma)
     2.41674736E-06    2          23        22   # BR(H_2 -> Z gamma)
     1.75102311E-01    2          25        25   # BR(H_2 -> H_1 H_1)
     4.55707702E-01    2     1000006  -1000006   # BR(H_2 -> ~t_1 ~tbar_1)
DECAY        45     2.63498771E+01   # 3rd neutral Higgs scalar
     4.43441712E-04    2          21        21   # BR(H_3 -> gluon gluon)
     2.40296114E-08    2          13       -13   # BR(H_3 -> muon muon)
     6.79644749E-06    2          15       -15   # BR(H_3 -> tau tau)
     3.56765418E-08    2           3        -3   # BR(H_3 -> s sbar)
     7.25418343E-05    2           4        -4   # BR(H_3 -> c cbar)
     1.07873187E-04    2           5        -5   # BR(H_3 -> b bbar)
     2.88982932E-01    2           6        -6   # BR(H_3 -> t tbar)
     1.58409265E-01    2          24       -24   # BR(H_3 -> W+ W-)
     7.72602368E-02    2          23        23   # BR(H_3 -> Z Z)
     1.40455014E-06    2          22        22   # BR(H_3 -> gamma gamma)
     3.01222901E-07    2          23        22   # BR(H_3 -> Z gamma)
     4.73805798E-01    2          25        25   # BR(H_3 -> H_1 H_1)
     1.27590480E-04    2          23        36   # BR(H_3 -> A_1 Z)
     7.81759220E-04    2     1000006  -1000006   # BR(H_3 -> ~t_1 ~tbar_1)
DECAY        36     6.61636467E+00   # Lightest pseudoscalar
     2.06751562E-03    2          21        21   # BR(A_1 -> gluon gluon)
     4.46896189E-07    2          13       -13   # BR(A_1 -> muon muon)
     1.26401416E-04    2          15       -15   # BR(A_1 -> tau tau)
     7.24131056E-07    2           3        -3   # BR(A_1 -> s sbar)
     3.31294444E-04    2           4        -4   # BR(A_1 -> c cbar)
     1.20130676E-03    2           5        -5   # BR(A_1 -> b bbar)
     9.91367275E-01    2           6        -6   # BR(A_1 -> t tbar)
     8.51575254E-06    2          22        22   # BR(A_1 -> gamma gamma)
     2.57881607E-06    2          23        22   # BR(A_1 -> Z gamma)
     4.89394162E-03    2          23        25   # BR(A_1 -> Z H_1)
DECAY        46     1.23113391E+01   # 2nd pseudoscalar
     1.62194549E-03    2          21        21   # BR(A_2 -> gluon gluon)
     4.21639691E-07    2          13       -13   # BR(A_2 -> muon muon)
     1.19258640E-04    2          15       -15   # BR(A_2 -> tau tau)
     6.59992237E-07    2           3        -3   # BR(A_2 -> s sbar)
     2.62353844E-04    2           4        -4   # BR(A_2 -> c cbar)
     1.06515897E-03    2           5        -5   # BR(A_2 -> b bbar)
     9.59047395E-01    2           6        -6   # BR(A_2 -> t tbar)
     9.37477909E-06    2          22        22   # BR(A_2 -> gamma gamma)
     2.19671436E-06    2          23        22   # BR(A_2 -> Z gamma)
     6.32938705E-03    2          36        25   # BR(A_2 -> A_1 H_1)
     8.00766544E-03    2          23        25   # BR(A_2 -> Z H_1)
     4.90699923E-04    2          23        35   # BR(A_2 -> Z H_2)
     1.15217413E-02    2          24       -37   # BR(A_2 -> W+ H-)
DECAY        37     1.65677602E+01   # Charged Higgs
     4.67643074E-07    2         -13        14   # BR(H+ -> muon nu_muon)
     1.32269944E-04    2         -15        16   # BR(H+ -> tau nu_tau)
     4.43836078E-08    2           2        -3   # BR(H+ -> u sbar)
     1.17457905E-05    2           4        -3   # BR(H+ -> c sbar)
     1.49135622E-08    2           2        -5   # BR(H+ -> u bbar)
     1.50895574E-06    2           4        -5   # BR(H+ -> c bbar)
     9.93361516E-01    2           6        -5   # BR(H+ -> t bbar)
     6.49243270E-03    2          24        25   # BR(H+ -> W+ H_1)
DECAY         6     1.33482521E+00   # Top Quark
     1.00000000E+00    2           5        24   # BR(t ->  b    W+)
#         PDG            Width
DECAY   1000024     1.31753527E+01   # chargino1
